startLatitude,startLongitude,endLatitude,endLongitude,distance,duration,encodedPolyline
-36.844945,174.76659,-36.85219,174.766502,938,325,|g{_Febui`@AH????JNdAH`Ad@`BIRN~@TbAX`BVd@?~B^O@|@^fA\`@Cz@Z~@Zz@`@`ATfAVn@a@Lw@RcAh@w@x@[r@Y\CP]\q@@I??
-36.84717,174.762347,-36.853361,174.756828,1008,288,xu{_Fugti`@??????CFf@d@jA`@\v@[vAUrAYvA@H????????NR|AhApBn@hBh@l@XrBn@~Al@nBf@lBn@lBl@fBl@fBp@dAr@GzASR????
-36.856705,174.757637,-36.848249,174.765672,1537,881,lq}_Fgjsi`@@???JYL[HUPq@p@uAV[z@Wh@cAFuABo@???A?????????????@???????A?ACQ????CAMo@@mAEmACe@e@]o@]iA]s@[s@KcA]iAc@mAa@}@Os@Kk@]i@OGAAA?A????OGa@Mk@[m@a@u@{@gBSuAm@iACgAYeAWq@IAC????????????CCe@g@gAu@gAe@eA_@a@QWE_@Q??????????[Is@CgAScAg@??DA??
-36.847837,174.772875,-36.844635,174.767087,684,236,~y{_Foivi`@?@????C@o@p@}@p@_Af@aA`@mAd@w@ZUdASnAMpAFpAK`AQ`Ae@`BYtAQr@GpAWtAu@p@QL??
-36.850905,174.765178,-36.853069,174.76442,301,115,bm|_Fkyti`@B@??TDbAHjA^|@ZLbA@DPfAr@Ir@Ut@YHM??
-36.848089,174.761873,-36.848594,174.766527,509,556,p{{_Fudti`@CI??BKANHI?ABE?@A???@A?DDCE@BIRu@AE@M@A?CB??????A??@?Wa@NgAT_ABY????????A???@EDa@Nw@JeAJkAPcA\{@XuAReAKI_@OQ]OMOQAM?DCA??A???
-36.854182,174.762826,-36.879492,174.750532,3259,935,ra}_Fujti`@@?@???LEZPPDPFp@X~@Dn@Nl@Tl@Vh@NZPf@Xf@Ll@Lj@R\Rb@Ht@TZB?@??????????^?lALpAd@dAd@pAd@d@d@b@l@z@ZdAbAVdCJtCh@lC|@dC~@`ClApBxArAp@vBn@a@`BDpB\rA`@lAJpAVnARxAVzAb@dBXzA\TJ????@ANe@lAXfBb@jBf@pBh@tBf@bB^rBh@`B`@rBd@tBh@xBd@jB`@xBf@fBXfAZ~@T????????????D@|@RhAV`AXhAXt@JhATbAVhAT`ATf@ON_A^A????
-36.857529,174.76659,-36.853896,174.764918,483,274,pv}_Febui`@AAC?i@Wg@Ym@Pa@f@_@h@g@b@OL????????A@c@b@cAK_ADE?i@Bw@\gAf@g@Hs@^SR?@J\Wb@????
-36.84824,174.76196,-36.843127,174.767082,1020,436,n|{_Fgeti`@A???????Fg@Jw@Fm@AI????@?Ns@PeAZmAX_BVsAPqAB_@@?A?CC}@OaBiA??yBa@??q@z@_AGiAW_Aa@s@MiAc@w@g@qAFm@U@???o@W}@s@kAa@cAe@m@RY?IK??
-36.845481,174.773532,-36.84932,174.773596,1983,782,fk{_Fqmvi`@??@????AA?_ACg@r@ShBK~@MpAUjAWtAh@r@z@Vv@t@XNj@ZPn@`@Tl@hALdBHdBBz@PKYm@}@c@cAe@Ge@Zc@P_@BmASs@A{AH}Ad@u@z@Sr@m@l@[~@[R_@@@??????d@Wt@c@r@g@r@u@n@]p@[z@Yt@E\JRb@o@PC`@o@VeAh@a@jAo@fAs@~@HUr@aAl@_Ab@{@l@Q^e@O_AGeAn@Lf@LHEa@w@PD??@???????????
